.pl 16959
CisloKarty;NazevZbozi;NazevZbozi2;MernaJednotka;NakupCena;SazbaD;Rabat;Pocet;VPal;VKart;VFol;MinFol;CisloDodavatele;NazevDodavatele;KodZbozi;PodKodZbozi;PrumProdDen;Priznak;Zobrazovat;Pozice;DodCislo
--DATA--
0100$;\O\dohled n¡ vìbØrovky$; $;ks$;9999.00$;21$;0.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0101$;StØrka mal  çpachtle PE 10cm n hradn¡$; $;ks$;4.90$;21$;23.00$;14$;0$;50$;0$;N$;00254$;Jiý¡ TluŸhoý$;0007$;0007$;0$;D$;A$;5B13$; 
0102$;N plast stý¡han  5ks  1682-5$; $;ks$;4.50$;15$;41.60$;37$;0$;50$;0$;N$;00594$;MEDIPLAST CZ, vìrobn¡ dru§stvo$;0008$;0008$;1$; $;A$;3E82$; 
0104$;\O\siýiŸitan sodnì bezvodnì 25kg$; $;pyt$;650.00$;21$;26.20$;0$;0$;0$;0$;N$;00942$;EURO-æarm spol. s r.o./Oqema$;0000$;0000$;0$; $;A$;6000$; 
0105$;||190528$; $;ks$;0.00$;21$;21.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0106$;\o\Brial XL Fresh 1l$; $;ks$;108.31$;21$;28.00$;0$;0$;12$;0$;N$;00237$;Ecolab Hygiene s.r.o.$;0000$;0000$;0$; $;A$; $; 
0107$;Mazlav‚ mìdlo 9kg svØtl‚$;nov  cena 108.56$;kan$;110.81$;21$;66.30$;33$;36$;0$;0$;N$;00001$;Zenit s.r.o. ¬ slav$;0002$;0001$;3$; $;A$;6000$;30960
0109$;\AU\Vonnì olej 0.5l$; $;ks$;94.60$;21$;23.00$;0$;0$;0$;0$;N$;01007$;Augustin Pecha-Mopservis s.r.o.$;0000$;0000$;0$; $;A$; $; 
0110$;||190528$; $;ks$;0.00$;21$;21.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0111$;\O\Topmatic universal special 25kg$;nov  NC r.2020$;ks$;2602.50$;21$;35.80$;0$;0$;0$;0$;N$;00237$;Ecolab Hygiene s.r.o.$;0000$;0000$;0$; $;A$;2G00$; 
0112$;||190111$; $;ks$;0.00$;21$;23.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0113$;\o\prac¡ gel Persil 40 d vek color$; $;ks$;101.38$;21$;23.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0114$;Univerzal HIT 500g jablko$; $;ks$;13.11$;21$;28.00$;272$;900$;20$;0$;N$;00001$;Zenit s.r.o. ¬ slav$;0002$;0001$;7$; $;A$;1B11$;30422
0116$;\o\Hadr na podlahu Artatex 50x70cm b¡lì$;cena ze dne 2 2020$;ks$;7.90$;21$;23.00$;0$;0$;0$;0$;N$;01119$;CHLUM-TEX spol.s r.o.$;0000$;0000$;0$; $;A$; $; 
0117$;||200729$; $;ks$;0.00$;21$;20.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0118$;\D\Cirine b¡l  13kg$; $;ks$;960.12$;21$;21.00$;0$;0$;0$;0$;N$;00024$;Druchema,dru§stvo pro chem.vìrobu$;0000$;0000$;0$; $;A$; $; 
0119$;\o\ECO Real Green Clean multifunk.5kg$; $;ks$;115.50$;21$;28.00$;0$;0$;0$;0$;N$;00001$;Zenit s.r.o. ¬ slav$;0000$;0000$;0$; $;A$; $; 
0120$;||190104$; $;ks$;0.00$;21$;23.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0121$;Pap¡rov‚ ruŸn¡ky role 2vr Tork 120076 6k$;zelì,recy,150m matic H1  Hygoç za 695$;kar$;660.00$;21$;34.10$;35$;28$;0$;0$;N$;00527$;SCA Hygiene products s.r.o.$;0005$;0003$;1$; $;A$;5K21$; 
0122$;Umyvadlo PVC kulat‚ klasic 31cm/ 6,2l$; $;ks$;18.40$;21$;24.20$;12$;80$;0$;0$;N$;00975$;Velkoobchod FAVE s.r.o.$;0003$;0004$;0$; $;A$;5A11$;311006
0123$;||190102$; $;ks$;0.00$;21$;23.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0127$;\AU\vonnì olej Lorol 0.5l$; $;ks$;95.05$;21$;23.00$;0$;0$;0$;0$;N$;01007$;Augustin Pecha-Mopservis s.r.o.$;0000$;0000$;0$; $;A$; $; 
0129$;||191219$; $;ks$;0.00$;21$;21.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0130$;\KN\Molitan 200x200x20mm$; $;ks$;5.20$;21$;28.00$;5$;0$;0$;0$;N$;00876$;MOLITEN s.r.o.$;0000$;0000$;0$; $;A$;2F22$; 
0132$;Rukavice sv ýec¡ MERLIN Ÿ.11$; $;p r$;38.33$;21$;25.50$;48$;0$;12$;0$;N$;00465$;Osapo s.r.o.$;0009$;0001$;0$; $;A$;3B31$; 
0133$;\o\V¡ko ke koçi Rubbermaid zelen‚$; $;ks$;650.10$;21$;28.00$;0$;0$;0$;0$;N$;00671$;MANUTAN s.r.o.$;0000$;0000$;0$; $;A$; $;274006
0134$;||201126$; $;ks$;0.00$;21$;20.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0135$;\O\UvolåovaŸ çroub… COYOTE 150ml$; $;ks$;33.43$;21$;60.90$;0$;0$;10$;0$;N$;00411$;Automax Group s.r.o.$;0000$;0000$;0$;O$;A$;3G23$; 
0138$;|Paleta EUR - KUKU$; $;ks$;0.00$;21$;0.00$;16$;0$;0$;0$;N$;00981$;Miroslav KuŸera - Kuku pap¡r$;0000$;0000$;0$; $;A$;6000$; 
0139$;\D\Tagal impregnace 300ml$; $;ks$;60.56$;21$;23.00$;0$;0$;0$;0$;N$;00024$;Druchema,dru§stvo pro chem.vìrobu$;0000$;0000$;0$; $;A$; $; 
0141$;\o\Pap.ruŸ.C 1vrs.100ks b¡l‚$; $;bal$;10.83$;21$;28.00$;0$;0$;30$;0$;N$;00981$;Miroslav KuŸera - Kuku pap¡r$;0000$;0000$;0$; $;A$;4G15$; 
0143$;\P\Lak.tu§.HFB380092 platin$; $;ks$;122.58$;21$;30.00$;0$;0$;0$;0$;N$;00738$;AUTO GREMOS, spol. s r.o.$;0000$;0000$;0$; $;A$;2F13$; 
0144$;Stojan s bezdotyk. d vkovaŸem desinf.1l$; $;ks$;2615.00$;21$;68.30$;0$;0$;0$;0$;N$;00555$;PEMA VELKOOBCHOD - zkuçebn¡$;0010$;0005$;0$;A$;A$; $; 
0145$;||190531$; $;ks$;0.00$;21$;21.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0146$;Pytle 120L/40mi 70x110cm role-25ks zelen$; $;rol$;48.25$;21$;26.40$;100$;400$;10$;0$;N$;01029$;PYTLÖK, a.s.$;0003$;0002$;1$; $;A$;3E34$;05.040700
0147$;ækrob tekutì 3E 5kg kanystr$; $;kan$;113.30$;21$;24.30$;11$;0$;0$;0$;N$;00029$;Severochema v.d. Liberec$;0001$;0005$;0$; $;A$;2K35$; 
0148$;D vkovaŸ mìdla 475ml Tork b¡lì 561000$; $;ks$;357.90$;21$;28.30$;0$;0$;0$;0$;N$;00527$;SCA Hygiene products s.r.o.$;0000$;0000$;0$;O$;A$;5D42$; 
0149$;StØrka podlaha kovov  45cm s gumou$; $;ks$;100.00$;21$;25.00$;15$;0$;10$;0$;N$;01007$;Augustin Pecha-Mopservis s.r.o.$;0003$;0008$;0$; $;A$;5C32$;206022
0150$;S…l posypov  50kg$; $;pyt$;147.48$;21$;43.30$;120$;21$;0$;0$;N$;00121$;K+S Czech Republic a.s.$;0006$;0003$;1$; $;A$;6000$; 
0151$;üedidlo nitro 9l 6000 kanystr$; $;kan$;295.95$;21$;26.00$;28$;0$;0$;0$;N$;00029$;Severochema v.d. Liberec$;0006$;0003$;1$; $;A$;3C23$;1084054
0152$;üedidlo syntetik 9l 6006 kanystr$; $;kan$;257.26$;21$;25.00$;0$;0$;0$;0$;N$;00029$;Severochema v.d. Liberec$;0006$;0003$;0$; $;A$;3C24$;1084063
0154$;||190111$; $;ks$;0.00$;21$;23.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0155$;Kontaktol spray 300ml na elektr.kontakty$; $;ks$;60.56$;21$;24.30$;18$;0$;10$;0$;N$;00024$;Druchema,dru§stvo pro chem.vìrobu$;0006$;0003$;0$; $;A$;3G21$;13210921
0156$;||190102$; $;ks$;0.00$;21$;23.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0157$;Kr‚m na ruce Solvina 100ml MØs¡Ÿek$; $;ks$;8.67$;21$;32.50$;345$;0$;10$;0$;N$;00001$;Zenit s.r.o. ¬ slav$;0004$;0004$;8$; $;A$;5D63$;407016
0158$;N dob¡ Jar 900ml Pome granate$;hustota 1.025-1.030 g/cm3$;Ks$;27.88$;21$;30.70$;820$;720$;12$;0$;N$;00032$;Procter & Gamble Rakovnik$;0002$;0002$;12$; $;A$;1B15$; 
0159$;éklidovì voz¡k 2x17 + koç¡k boŸn¡$;nov  cena 10/2019$;ks$;1822.70$;21$;32.90$;1$;0$;0$;0$;N$;00087$;Eastmop spol.s r.o.$;0003$;0007$;0$; $;A$;3G11$; 
0160$;||190320$; $;ks$;0.00$;21$;23.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0161$;Kr‚m na ruce Isolda 100ml Aloe Vera/rege$;s panthenolem$;ks$;10.83$;21$;27.70$;407$;0$;25$;0$;N$;00638$;Cormen Bystýice$;0004$;0004$;29$; $;A$;5J13$;VPKRA01094
0162$;\P\Lak.tu§.HFA380038 Candy  F9E$; $;ks$;142.25$;21$;30.00$;0$;0$;0$;0$;N$;00738$;AUTO GREMOS, spol. s r.o.$;0000$;0000$;0$; $;A$;2F13$; 
0163$;\O\Skinman Soft Protect 100ml    3070960$; $;ks$;46.15$;21$;36.00$;0$;0$;50$;0$;N$;00237$;Ecolab Hygiene s.r.o.$;0000$;0000$;0$;O$;A$;7000$; 
0164$;Rukavice celoko§en‚ Heron/Astar Ÿ.10$; $;p r$;44.93$;21$;26.00$;42$;0$;120$;0$;N$;00465$;Osapo s.r.o.$;0009$;0001$;1$; $;A$;3B13$;1020210
0166$;||190102$; $;ks$;0.00$;21$;23.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0168$;\AU\Domestos 750ml$; $;ks$;38.00$;21$;23.00$;0$;0$;0$;0$;N$;01007$;Augustin Pecha-Mopservis s.r.o.$;0000$;0000$;0$; $;A$; $; 
0169$;\D\Velosourpava Start nov $; $;ks$;16.96$;21$;23.00$;0$;0$;20$;0$;N$;00024$;Druchema,dru§stvo pro chem.vìrobu$;0000$;0000$;0$; $;A$; $; 
0170$;StØrka okno + rozmìv k DUO 35cm$; $;ks$;299.00$;21$;28.00$;5$;0$;0$;0$;N$;01007$;Augustin Pecha-Mopservis s.r.o.$;0003$;0008$;0$; $;A$;5G45$;205040
0171$;Somat do myŸky s…l 1.5kg$; $;ks$;32.91$;21$;42.80$;137$;0$;8$;0$;N$;00030$;Henkel CR s.r.o. Praha$;0002$;0003$;1$; $;A$;2J34$;746061
0172$;\O\V¡ko k voz¡k.120l mix bar. 52,5x31,5$; $;ks$;245.00$;21$;28.00$;0$;0$;0$;0$;N$;01007$;Augustin Pecha-Mopservis s.r.o.$;0000$;0000$;0$;0$;A$;2F12$;204112
0173$;Zubn¡ pasta Odol Stoma 75ml$; $;ks$;17.55$;21$;25.00$;21$;0$;12$;0$;N$;00167$;GlaxoSmithKline spol.s r.o.$;0004$;0005$;0$; $;A$;5F22$; 
0174$;\O\Sekusept Aktiv 1.5l novì$;NC/2020$;ks$;540.90$;21$;28.00$;0$;0$;4$;0$;N$;00237$;Ecolab Hygiene s.r.o.$;0002$;0014$;0$;O$;N$;2G13$; 
0175$;Pap¡rov‚ ruŸn¡ky ZZ 2vr Tork 100278 B¡l $;15x200ks,celuloza$;kar$;894.40$;21$;25.10$;2$;0$;1$;0$;N$;00527$;SCA Hygiene products s.r.o.$;0005$;0003$;0$; $;A$;5L32$; 
0176$;\o\S Ÿky do koçe 60l 20ks Fino Color$; $;rol$;26.40$;21$;23.00$;0$;0$;28$;0$;N$;00383$;Sarantis Czech Republic,s.r.o.$;0000$;0000$;0$; $;A$; $; 
0177$;WC ŸistiŸ Domestos 5l$; $;kan$;118.57$;21$;38.70$;34$;0$;4$;0$;N$;00858$;Diversey ¬esk  republika s.r.o$;0002$;0008$;1$; $;A$;2G23$;G12483
0178$;Finish pr çek 2,5kg$; $;ks$;91.70$;21$;42.60$;66$;0$;6$;0$;N$;00021$;Benckiser s.r.o. Praha$;0002$;0003$;2$; $;A$;2D11$; 
0179$;||191025$; $;ks$;0.00$;21$;21.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0180$;Motouz POP  250g  1200 m/kg$; $;ks$;28.00$;21$;24.30$;187$;0$;8$;0$;N$;00104$;JUTA, a.s. Olomouc$;0008$;0001$;5$; $;A$;5F63$; 
