.pl 16959
CisloVydejky;DatumVydeje;CisloDodavatele;NazevDodavatele;Celkem0;Celkem5;Celkem23;Upozorneni
--DATA--
00001$;737794$;00245$;Lipa velkoobchod papirem s.r.o.$;0.00$;0.00$;2935.80$; 
00002$;737794$;01095$;Hygienický servis s.r.o.$;0.00$;0.00$;13992.00$; 
00003$;737794$;00245$;Lipa velkoobchod papirem s.r.o.$;0.00$;0.00$;702.95$; 
00004$;737794$;01029$;PYTLÍK, a.s.$;0.00$;0.00$;46207.50$; 
00005$;737794$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;0.00$;0.00$;17351.90$; 
00006$;737794$;00687$;Avex Liberec s.r.o.$;0.00$;0.00$;1145.70$; 
00007$;737794$;00066$;Alpa s.r.o. Velke Mezirici$;0.00$;0.00$;3291.78$; 
00008$;737794$;00610$;AUTO - COLOR s.r.o$;0.00$;0.00$;31800.00$; 
00009$;737794$;00981$;Miroslav Kuèera - Kuku papír$;0.00$;0.00$;140550.40$; 
00010$;737794$;00032$;Procter & Gamble Rakovnik$;0.00$;0.00$;26068.47$; 
00011$;737794$;00986$;GENEXVS spol.s .r.o.$;0.00$;0.00$;9286.50$; 
00012$;737794$;00167$;GlaxoSmithKline spol.s r.o.$;0.00$;0.00$;354.88$; 
00013$;737794$;00253$;Colgate - Palmolive$;0.00$;0.00$;2440.08$; 
00014$;737794$;01021$;Madel$;0.00$;0.00$;1401.72$; 
00015$;737794$;00255$;Freudenberg PPD k.s.$;0.00$;0.00$;2636.88$; 
00016$;737794$;00465$;Osapo s.r.o.$;0.00$;0.00$;10110.48$; 
00017$;737794$;00021$;Benckiser s.r.o. Praha$;0.00$;0.00$;4058.34$; 
00018$;737794$;00021$;Benckiser s.r.o. Praha$;0.00$;0.00$;17157.84$; 
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;0.00$;0.00$;15232.80$; 
00020$;737794$;00116$;Primo group s.r.o.$;0.00$;0.00$;17790.24$; 
00021$;737794$;00029$;Severochema v.d. Liberec$;0.00$;0.00$;48201.56$; 
00022$;737794$;00358$;KARKO PAPER s.r.o.$;0.00$;0.00$;35706.24$; 
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;0.00$;0.00$;56749.24$; 
00024$;737794$;01007$;Augustin Pecha-Mopservis s.r.o.$;0.00$;0.00$;25575.00$; 
00025$;737794$;00087$;Eastmop spol.s r.o.$;0.00$;0.00$;12969.69$; 
00026$;737794$;00629$;KALVEI, s.r.o.$;0.00$;0.00$;6294.00$; 
