.pl 16959
CisloPrijemky;DatumVydeje;CisloDodavatele;NazevDodavatele;Celkem0;Celkem5;Celkem23;Upozorneni;CisloFakturyD
--DATA--
00001$;737794$;00099$;* Inventurni rozdily$;0.00$;0.00$;-2862.34$; $; 
00002$;737794$;00156$;* Reklamace 2021 zákazník$;0.00$;0.00$;-12939.82$;Dluhy z r 2020 / k PR 2833/2020$; 
00003$;737794$;00814$;* Ostatní pøevod mezi karty$;0.00$;0.00$;-3.97$; $; 
00004$;737794$;00814$;* Ostatní pøevod mezi karty$;0.00$;0.00$;0.00$; $; 
00005$;737794$;00245$;Lipa velkoobchod papirem s.r.o.$;0.00$;0.00$;2887.80$; $;210100018
00006$;737794$;00206$;Espace velkoobchod drogerie s.r.o.$;0.00$;0.00$;18811.46$; $;2130016
00007$;737795$;01058$;Vìra Nižníková NIMPEX$;0.00$;0.00$;50.00$; $;210100007
00008$;737795$;00944$;* Zápùjèka$;0.00$;0.00$;-161.84$;vrátka davidovi / r 2020 PR 2650$; 
00009$;737795$;00812$;* Reklamace$;0.00$;0.00$;80.00$;Vzorky zdarma$; 
00010$;737795$;00936$;VULKAN - Medical,a.s.$;0.00$;0.00$;141282.80$; $;210100068
00011$;737796$;00981$;Miroslav Kuèera - Kuku papír$;0.00$;0.00$;142441.60$; $;2120002
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;0.00$;0.00$;34248.50$; $;1521000012
00013$;737796$;01029$;PYTLÍK, a.s.$;0.00$;0.00$;46207.50$; $;1201002690
00014$;737796$;00078$;Vamtex s.r.o. Vamberk$;0.00$;0.00$;18928.00$; $;1202100002
00015$;737796$;00629$;KALVEI, s.r.o.$;0.00$;0.00$;1644.00$; $;2101000012
00016$;737796$;00629$;KALVEI, s.r.o.$;0.00$;0.00$;11594.40$; $;21010000011
00017$;737797$;00772$;DISTRIMO$;0.00$;0.00$;3385.20$; $;3210209029
00018$;737797$;00975$;Velkoobchod FAVE s.r.o.$;0.00$;0.00$;11769.38$;+ PR 82$;210100025
00019$;737797$;00465$;Osapo s.r.o.$;0.00$;0.00$;8825.50$; $;910017
00020$;737797$;01007$;Augustin Pecha-Mopservis s.r.o.$;0.00$;0.00$;16075.00$; $;2210020
00021$;737797$;00029$;Severochema v.d. Liberec$;0.00$;0.00$;48088.50$; $;1121000070
00022$;737797$;00638$;Cormen Bystøice$;0.00$;0.00$;-1742.40$; $;0121390014
00023$;737797$;00638$;Cormen Bystøice$;0.00$;0.00$;88598.64$; $;0121300076
00024$;737797$;01037$;Ing.David Pikula$;0.00$;0.00$;13994.60$; $;210006
00025$;737797$;01095$;Hygienický servis s.r.o.$;0.00$;0.00$;13992.00$; $;20211007
00026$;737797$;00358$;KARKO PAPER s.r.o.$;0.00$;0.00$;29755.20$; $;203223
00027$;737798$;00041$;Dubrava Valašské Klobouky$;0.00$;0.00$;3816.00$; $;100210025
00028$;737798$;00206$;Espace velkoobchod drogerie s.r.o.$;0.00$;0.00$;13838.40$; $;2130079
00029$;737798$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;0.00$;0.00$;31016.70$; $;1521000047
00030$;737798$;00687$;Avex Liberec s.r.o.$;0.00$;0.00$;5426.40$; $;11658
