.pl 16959
CisloVydejky;DatumVydeje;CisloOdberatele;NazevOdberatele;Celkem0;Celkem5;Celkem23;Zisk;NahradniPlneni;Prebirajici;Upozorneni;Obsluha;CisloObjednavkyD;CisloFaktury;KodSumFa;Vybrane;Rozvoz;FormaUhrady
--DATA--
00001$;737794$;01899$;Zdravotnick· z·chrann· sluûba$;0$;0$;8401$;2215$;N$;Lenka Svobodov·$;ROZVOZ + DODACÕ LIST //kdykoliv do 13hod.$;éateËkov· MarkÈta$;300200125$;00472$;dr$;0$;R$; 
00002$;737794$;01899$;Zdravotnick· z·chrann· sluûba$;0$;0$;1606$;426$;N$;Lenka Svobodov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;300200281$;00472$;dr$;0$;R$; 
00003$;737794$;00433$;Tepl·rna Liberec, a.s.$;0$;0$;24819$;7466$;N$;Iva Lieserov·$;ROZVOZ + DODACÕ LIST$;HvÏzdov· ä·rka$;tel$;00472$;dr$;0$;R$; 
00004$;737794$;02781$;Z·kladnÌ ökola a Mate¯sk· ökola$;0$;0$;2310$;857$;N$;Boöek$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;tel.$;00933$; $;0$;R$; 
00005$;737794$;00530$;V⁄TS,a.s.$;0$;0$;14600$;3824$;N$;Hor·Ëek,Laimarinov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;210007$;00472$;dr$;0$;R$; 
00006$;737794$;00054$;AUTOSPORT KU»ERA s.r.o.$;0$;0$;1757$;484$;N$;VojtÏch Bedn·¯$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;77877®$;00472$;dr$;0$;R$; 
00007$;737794$;00261$;Ji¯Ì Burger - Fischer z·vod 5$;0$;0$;3494$;544$;N$;JelÌnkov·$;ROZVOZ + DODACÕ LIST //dovoz dnes do 11.30$;éateËkov· MarkÈta$;77829$;00930$;bur$;0$;R$; 
00008$;737794$;00265$;Ji¯Ì Burger - Tepl·rna$;0$;0$;2810$;503$;N$;Burgerov· Anna$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;77758$;00930$;bur$;0$;R$; 
00009$;737794$;00260$;Ji¯Ì Burger - Laird$;0$;0$;26139$;4139$;N$;Viktor$;ROZVOZ + DODACÕ LIST //dovoz 6 ledna$;éateËkov· MarkÈta$;77757$;00930$;bur$;0$;R$; 
00010$;737794$;00259$;Ji¯Ì Burger - Webasto$;0$;0$;53496$;8486$;N$;H·kov·$;ROZVOZ + DODACÕ LIST //dovoz 6 ledna$;éateËkov· MarkÈta$;77756$;00930$;bur$;0$;R$; 
00011$;737794$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;7752$;1711$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ //v ˙ter˝ r·no$;éateËkov· MarkÈta$;77882$;00925$;DPL$;0$; $; 
00012$;737794$;00732$;ACL Anodizing s.r.o.$;0$;0$;4469$;1227$;N$;Ho¯enÌ$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;77816$;00472$;dr$;0$;R$; 
00013$;737794$;00732$;ACL Anodizing s.r.o.$;0$;0$;2740$;818$;N$;Ho¯enÌ$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;77818$;00472$;dr$;0$;R$; 
00014$;737794$;07613$;WIEDEN s.r.o.$;0$;0$;13321$;3538$;N$;BulÌ¯ov·$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;77893$;00472$;dr$;0$;R$; 
00015$;737794$;03900$;Krajsk· nemocnice Liberec   1341$;0$;0$;388$;137$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00336$;nem$;0$; $; 
00016$;737794$;03904$;Krajsk· nemocnice Liberec   2113$;0$;0$;1032$;311$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00336$;nem$;0$; $; 
00017$;737794$;03905$;Krajsk· nemocnice Liberec   2129$;0$;0$;905$;257$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00336$;nem$;0$; $; 
00018$;737794$;03893$;Krajsk· nemocnice Liberec   2132$;0$;0$;189$;44$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00336$;nem$;0$; $; 
00019$;737794$;03890$;Krajsk· nemocnice Liberec   2141HDS$;0$;0$;83$;25$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00336$;nem$;0$; $; 
00020$;737794$;03906$;Krajsk· nemocnice Liberec   2141PIO$;0$;0$;28$;14$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00336$;nem$;0$; $; 
00021$;737794$;03908$;Krajsk· nemocnice Liberec   2162$;0$;0$;143$;45$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00336$;nem$;0$; $; 
00022$;737794$;03909$;Krajsk· nemocnice Liberec   2172$;0$;0$;845$;321$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00336$;nem$;0$; $; 
00023$;737794$;03910$;Krajsk· nemocnice Liberec   2182$;0$;0$;1295$;449$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00336$;nem$;0$; $; 
00024$;737794$;03911$;Krajsk· nemocnice Liberec   2211$;0$;0$;1582$;610$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00336$;nem$;0$; $; 
00025$;737794$;03912$;Krajsk· nemocnice Liberec   2222$;0$;0$;552$;217$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00336$;nem$;0$; $; 
00026$;737794$;03892$;Krajsk· nemocnice Liberec   2231$;0$;0$;448$;94$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00336$;nem$;0$; $; 
