.pl 16959
CisloDodavatele;NazevDodavatele;NazevDodavatele2;Ulice;Mesto;Psc;Ico;Dic1;Dic2;Zastoupeny;ZastoupenyOZ;Telefon;TelefonOz;Mail;MailOZ;Poznamka1;Poznamka2;Poznamka3;Poznamka4;Poznamka5;DatumPorizeni;PocetDnuObj;ZavozDen
--DATA--
00001$;Zenit s.r.o. »·slav$; $;Prazska 162$;Caslav$;28601$;44707070$;CZ$;44707070$;Poömourn˝ 7/2020$; $;327 304 380$;727 973 951$;klickova@zenit-caslav.cz$;posmourny@zenit-caslav.cz$; $;ZENIT 0-12.5%  laborato¯ 327 304 336 /869 Brabcov·$;KliËkov· 731 548 880   UËetnÌ Krumlov· 327304330$;bezp.listy/ekolog Nezbedov· 327 304 850/ 731 548 853$;z·voz 10palet$;730486$;4$;dle pot¯eby
00002$;Kartacovny a.s. Pelhrimov$; $;Libkovodska 1428$;Pelhrimov$;39346$;25183427$;CZ$;25183427$;Venc·lek$; $;565 302 341 fakt.245$;731 427 224$;prodej@spokar.com$; $;odbyt-Randova  öef-Venc·lek  atesty -Pilsk˝ 565 302 203$;Reklamace vûdy pÌsemnÏ,jinak nereagujÌ$;0-17%    dohodnout p¯edem vÏdra 10l paleta cenu 29.64 !!!$;min obj 10 000$;Moûnost objednat do st¯edy odpoledne.$;730486$;2$;p·tek
00003$;Plastform Mikulovice$; $; $;Mikulovice$; $; $; $; $; $; $; $; $; $; $;{ne odber pres ZPOZA HRADEC KRALOVE -16% -18%vl.odvoz}$;odber pres Tercius 0-18.6% PRAHA$;(KVINTEX PARHA 0-19%tel/02/61226848f/66313335 p. Manak)$; $; $;0$;0$; 
00004$;Vulkan intim brands Hradek$; $;Hradek nad Nisou$;Hradek nad Nisou$;46334$;12220$;CZ$;00012220$;L·t$; $;482 415 346$;482 415 404$;bervicova@vibrands.cz$; $;18% V.I.B. od vyrobce spl.14dni$;pouze kondomy$;moûnost na zavol·nÌ akËnÌ ceny$; $; $;0$;0$; 
00005$;Praölak s.r.o.$; $;Kate¯insk· 67$;Liberec$;46014$;27313816$;CZ$;27313816$;Kopic$; $;605 725 485$; $;praslak@seznam.cz$; $;barva na stojany Ral 9006 FAS$;lakov·nÌ a pÌskov·nÌ 460,-KË$; $; $; $;737545$;0$; 
00006$;Proxim s.r.o. Pardubice$; $;Star· Obec 318$;RybitvÌ$;53305$;45538727$;CZ$;45538727$;Kozubkov·$; $;466 530 357$;466 531 635$;proxim@proxim-pu.cz$; $;RoËkov·       Kozubkov· mobil 602120805$;Bere palety zpet i navÌc$; $;www.proxim-pu.cz$; $;0$;5$;dle pot¯eby
00007$;Spolpharma s.r.o.$; $;Zukovova 100$;Usti nad Labem$;40129$;27287149$;CZ$;27287149$;Vojta Pavel$; $;475 292 661/670$;475293946$;pavel.babor@volny.cz$; $;OZ p.Babor 731452188,fax 373395220$;Z·vozy p·tek,min.objedn·vka 45kartonu$;P¯es AB drogeri Nc+1%   /475291111 Hujacov· Oleje$; $;Duöek öÈf OZ 731  452 050 /234 707 462$;0$;0$; 
00099$;* Inventurni rozdily$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;0$;0$; 
00009$;Velvana a.s. Velvary$; $; $;Velvary$;27324$;45147779$;CZ$;45147779$; $; $;Hor·k 602136746$; $;mhorakova@omacz.cz$; $;brat pres OMA  Caronel min.odbÏr 21ks-tj.1karton$;dohoda 0-17%$;Tel/fax 487 851 016   fax 487 851 637$;straz@omaxcz.cz$; $;0$;0$; 
00010$;Bochemie a.s.$; $;Lidicka 326$;Bohumin$;73595$;27654087$;CZ$;27654087$;KuËov·,Pisko¯ov·$; $;596 091 431$;596 091 410$;Ivana.Kucova@bochemie.cz$; $;bezpeËnosnÌ listy MACHA“OV¡ 299 StaÚkov· 332$;chemik15@seznam.cz - kopie obj.    obrat cca 2 4000000$;Dopr,Gregerova203    na 90% ZAV·ûÌ ¯idiË GAûÌK 608 881 948$;od 1/2009 p¯es AB 0-16% p¯i 15pal       0-18% p¯i 30 palet$;Let·ky Kubov· 602 756 785   Pavel 602 239 804$;0$;0$; 
00011$;Obchodni servis Kumst Vaclav$; $;Horecka 700$;Zelezny Brod$;46822$;14830388$;CZ$;5908201662$;Kumst Vaclav$; $;0428/72403$; $; $; $; $; $; $; $; $;0$;0$; 
00012$;S.I.V. s.r.o. Praha$; $;provozovna Mimon$;Mimon$;47124$;60489235$;CZ$;60489235$; $; $; $; $; $; $; $; $; $; $; $;0$;0$; 
00013$;Jiza v.o.s. Lazne Bohdanec$; $;Na Luznici 706$;Lazne Bohdanec$;53341$;529940$;CZ$;00529940$; $; $;040/6921225,6921226$; $; $; $;objednavky 040/80176 p.Vimerova$;JIZA je v likvidaci$;Peroxid pouze bez prepravek!$; $; $;0$;0$; 
00014$;Petr Nejedl˝-Palma 1000+1$;v˝roba a distribuce$;U Stadionu 570$;»esk· T¯ebov·$;56002$;40161552$;CZ$;6411050459$;Petr Nejedl˝$; $;465320655$;465320655$;info@palmact.cz$; $;splatnost 21dni pozdeji 30 dni$;FA 0% (Hot -2%)       Dr·tÏnky 20%, ost.16-25%$;dealer 777/205045  obj. min.10.000,- bez DPH$;Harap·t$; $;0$;5$;dle pot¯eby
00015$;Gumarny a.s. Zubri$; $;okr. Vsetin$;Zubri$;75654$;00012122$;CZ$;00012122$; $; $;0651/662326,FX662332$; $; $; $;!!!dopravu na OBJ poûadovat poötou!!! dobÌrka dopr.roz˙Ët$; $; $; $; $;0$;0$; 
00016$;Septimac s.r.o. Liberec$; $; $;Liberec$; $;14864371$;CZ$;14864371$;Tonicek$; $;5104176$; $; $; $;0602/411022$; $;text ruk. 3.50 nestandart$; $; $;0$;0$; 
00017$;2p Servis$; $; $;PlzeÚ$; $; $;CZ$; $; $; $;778 059 111$; $;netalova@2pservis.cz$;info@2pservis.cz$; $; $; $; $; $;737689$;0$; 
00018$;Oseva Horazdovice$; $;Husovo namesti 140$;Horazdovice$;34101$;16969$;CZ$;00016969$;Hejduk$; $;0186/96190$; $; $; $; $; $; $; $; $;0$;0$; 
00100$;ObËanskÈ sdruûenÌ D.R.A.K. z.s$; $;OblaËn· 450/1$;Liberec 5-Kristi·nov$;46005$;26636328$;CZ$;26636328$; $; $; $; $;korinek@sdruzenidrak.org$; $;nemÏnit hlaviËku jde do dod·k˘ !!!!!$;Ko¯Ìnek 602 358 675$;H·skov· 723 520 144$; $; $;735327$;0$; 
00019$;Svetlik Velkoobchod C.Lipa$; $;Dubicka 2060$;Ceska Lipa$;47001$; $;CZ$;410529059$;Svetlik$; $; $; $; $; $; $; $; $; $; $;0$;0$; 
00020$;Brotex v.d. Broumov$; $; $;Broumov$;55001$;15046991$;CZ$;15046991$; $; $; $; $; $; $; $; $; $; $; $;0$;0$; 
00021$;Benckiser s.r.o. Praha$; $;Vorsilska 8-10$;Praha 1$;11000$;41695518$;CZ$;41695518$;Urban$; $;777 104 083$; $;velkoobchod.objednavky@espacevo.cz$; $;p¯es Espace nebo dle slev jinde$;]$; $; $; $;730486$;2$;dle pot¯eby
00022$;MATTES TRADING s.r.o.$; $;Collo - Louky 1557$;Fr˝dek-MÌstek$;73802$;46577297$;CZ$;46577297$;Tom·ö ÿebÌËek$; $;558 435 991$;734 756 785$;obchod@mattesgroup.cz$;vaclavrebicek@mattesgroup.cz$; $; $;fakturace@mattesgroup.cz$;vlasta.slukova@seznam.cz 603484958$;OZ ÿebÌËek sluûebnÌ 734 756 785$;730486$;5$;dle pot¯eb
00023$;K & M Kumprecht Josef$; $;Zizkova 53 PO box 6$;Broumov$;55001$;45571686$;CZ$;5701101329$;Martin$; $;0447/23130$; $; $; $;Martin Rucniky jako Brotex 20,- Kc$; $; $; $; $;0$;0$; 
00024$;Druchema,druûstvo pro chem.v˝robu$;a sluûby$;Sluûeb 3$;Praha 10-Straönice$;10031$;00027456$;CZ$;00027456$;Mach·Ëkov· 602403895$; $;296 814 275$;296 814 417$;prodej@druchema.cz$;konieczny@druchema.cz$;OZ Konieczny 602 682 911     nov˝ öÈf Kejzlar 775 851 301$; $;Pat¯Ì k DruchemÏ Styl od 10/2020$;ZC-15% inkaso-5% doprava-3% =23% ale kask·dou,p¯Ìmo 21,67%$;B.L p.Bl·hov· 296 814 268   ¯editelka Valdov· 724 570 798$;730486$;3$;r˘znÈ
00025$;Bernklau Petr Liberec$; $;Anglicka 826$;Liberec 3$;46010$;46010033$;CZ$;6802241710$;Bernklau$; $;048/28174$; $; $; $; $; $; $; $; $;0$;0$; 
00026$;Slovakofarma CZ s.r.o. Praha$; $;Cernokostelecka 1621$;Ricany u Prahy$;25001$;25073648$;CZ$;25073648$; $; $;204/622691,Polcova$; $; $; $;Str·dal 0-10% spl 10dni 606/644961 2/20971565 i fax$;OZ Slovakofarma$;{JasmÌn primo m· slevu 10% vl odvoz 12% )Zenit}$; $; $;0$;0$; 
00027$;Lybar a.s.$; $; $;Rtyne nad Bilinou$; $;49901869$;CZ$;49901869$; $; $;417/557261, 557110$;417 537 976$;ksmb@seznam.cz$; $;{V.O.PERLA Smutna -14,5% FAX 326 380 150 / 603 774 317$;P¯es AB -15.5% ale musÌ b˝t nad 50000,nebo NC+1 procento$;OZ p.Hovorkov· 602 426 493$;Lybar jana.jakubikova@bochemie.cz 724 174 152 obj.10tis.$;www.lybar.cz   öef Dvo¯·k 602 426 477$;0$;0$; 
00028$;JIP - Papirny Vlt. Mlyn a.s.$; $; $;Loucovice$;38276$;45022518$;CZ$;45022518$; $; $;0337/748241-9,748406$; $; $; $;fax 0337/92254 odbyt 0337/748141$; $; $; $; $;0$;0$; 
00029$;Severochema v.d. Liberec$; $;Vilova 333/2$;Liberec 10$;46171$;00029220$;CZ$;00029220$;BartonÌËkov·$; $;485 341 909$; $;expedice@severochema.cz$; $;BartonÌËkov· /605 228 167  Caletkov· let·ky/603 177 494$;P¯i vr·cenÌ sudu-ruËnÌ DL - vystavÌ DBP$;ZC 18% drogerie/28% ¯edidla /33% graffiti/29% pepo$;OZ Hovorkov· 603 851 923  prodej sef Doleûalov· 734687873$;BL.Vlada¯ov· 485 341 911 / Ekolog.Macajov· 603 851 926$;730486$;2$;dle pot¯eby
00030$;Henkel CR s.r.o. Praha$; $;Stepanska 33$;Praha$;11000$;15889858$;CZ$;15889858$;Franc˘$; $; $; $;francu.irena@seznam.cz$; $;Donatova 739 325 182  / 220 101 182$;po¯es Barvy OZ Franc˘ 602 473 465$;OZ V·vra 739 325 716  ales.vavra@henkel.com$; $; $;730486$;0$; 
00031$;Pro draft Usti nad Labem$; $;Ve stromkach 3/196$;Usti nad Labem$;40001$;64697738$;CZ$;6201110663$; $; $; $; $; $; $;{CEVAX p.Hanzal 0602/162833 f.0417/43708,0417/22066 17.50}$;br·t pa¯es Halaöka   {0723/340 896}$;dealer Halaöka 0602/108118  desky EUROWAX 16.70 HOTOVÃ!!!$; $; $;0$;0$; 
00032$;Procter & Gamble Rakovnik$; $;Lubenska 402$;Rakovnik$;26932$;27086721$;CZ$;27086721$; $; $; $; $;marek.horejsi@pksolvent$; $;OZ Ho¯ejöÌ 737 233 205 marek.horejsi@pksolvent.cz$; $; $;reklamace P¯Ìmo procter Malinov· 724 437 330$;öef Procter Litvan 724 606 212$;730486$;0$; 
00033$;Spojene kartacovny Pelhrimov$; $;Libkovodska 1428$;Pelhrimov$;39346$;25183427$;CZ$;25183427$;Randova$; $;586 302 211$; $;prodej+spokar.cz$; $;565 302 372 Kapounov· fax$; $;sleva 0-17%  spl.30 dnu$; $; $;0$;0$; 
00034$;Mam-nabytek s.r.o.$;HURA obchody$;Zenklova$;Praha$;18000$;08676500$;CZ$;08676500$; $; $; $; $; $; $;internetov˝ obchod$; $; $; $; $;737810$;0$; 
00035$;Tempo ing. Nemec Slany$; $;Ouvalova 554$;Slany$;27401$;14464845$;CZ$;410829064$;ing. Nemec, Vomikova$; $;Fax 0314/524054$; $; $; $;tel.0314/523157-60$;SLEVY 5.5% HOTOVE 15tis 2% 30tis 1% 120tis 2% 420tis 3%$; $; $; $;0$;0$; 
00036$;VIA-REK a.s.$; $;Old¯icha Blaûka 145$;R·jec - Jest¯ebÌ$;67902$;49450956$;CZ$;49450956$;pi.Lepkova$; $;516/432001$;516 432140$;expedice@via-rek.cz$; $;od 30.9.03 0-10+2 za pl.do druhÈho dne$;Expedice kl.151,152,154 p.Nemcova   Saldo p.Ostra kl.166$;Dohoda od 11.4. 0-5% OZ Kak·Ë mobil 777/774 990 NC+20%$; $;objedn·vka nad 10000 bez DPH, jinak uËtujÌ dopravu$;0$;0$; 
