.pl 16959
CisloKarty;NazevZbozi;NazevZbozi2;MernaJednotka;NakupCena;SazbaD;Rabat;Pocet;VPal;VKart;VFol;MinFol;CisloDodavatele;NazevDodavatele;KodZbozi;PodKodZbozi;PrumProdDen;Priznak;Zobrazovat;Pozice;DodCislo
--DATA--
0100$;\O\dohled·nÌ v˝bÏrovky$; $;ks$;9999.00$;21$;0.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0101$;StÏrka mal· öpachtle PE 10cm n·hradnÌ$; $;ks$;4.90$;21$;23.00$;4$;0$;50$;0$;N$;00254$;Ji¯Ì TluËho¯$;0007$;0007$;0$;D$;A$;5B13$; 
0102$;N·plast st¯Ìhan· 5ks  1682-5$; $;ks$;4.50$;15$;41.60$;33$;0$;50$;0$;N$;00594$;MEDIPLAST CZ, v˝robnÌ druûstvo$;0008$;0008$;1$; $;A$;3E82$; 
0104$;\O\si¯iËitan sodn˝ bezvodn˝ 25kg$; $;pyt$;650.00$;21$;26.20$;0$;0$;0$;0$;N$;00942$;EURO-äarm spol. s r.o./Oqema$;0000$;0000$;0$; $;A$;6000$; 
0105$;||190528$; $;ks$;0.00$;21$;21.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0106$;\o\Brial XL Fresh 1l$; $;ks$;108.31$;21$;28.00$;0$;0$;12$;0$;N$;00237$;Ecolab Hygiene s.r.o.$;0000$;0000$;0$; $;A$; $; 
0107$;MazlavÈ m˝dlo 9kg svÏtlÈ$;nov· cena 108.56$;kan$;110.81$;21$;66.30$;28$;36$;0$;0$;N$;00001$;Zenit s.r.o. »·slav$;0002$;0001$;3$; $;A$;6000$;30960
0109$;\AU\Vonn˝ olej 0.5l$; $;ks$;94.60$;21$;23.00$;0$;0$;0$;0$;N$;01007$;Augustin Pecha-Mopservis s.r.o.$;0000$;0000$;0$; $;A$; $; 
0110$;||190528$; $;ks$;0.00$;21$;21.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0111$;\O\Topmatic universal special 25kg$;nov· NC r.2020$;ks$;2602.50$;21$;35.80$;0$;0$;0$;0$;N$;00237$;Ecolab Hygiene s.r.o.$;0000$;0000$;0$; $;A$;2G00$; 
0112$;||190111$; $;ks$;0.00$;21$;23.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0113$;\o\pracÌ gel Persil 40 d·vek color$; $;ks$;101.38$;21$;23.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
0114$;Univerzal HIT 500g jablko$; $;ks$;13.39$;21$;25.30$;305$;900$;20$;0$;N$;00001$;Zenit s.r.o. »·slav$;0002$;0001$;7$; $;A$;1B11$;30422
0116$;\o\Hadr na podlahu Artatex 50x70cm bÌl˝$;cena ze dne 2 2020$;ks$;7.90$;21$;23.00$;0$;0$;0$;0$;N$;01119$;CHLUM-TEX spol.s r.o.$;0000$;0000$;0$; $;A$; $; 
0117$;||200729$; $;ks$;0.00$;21$;20.00$;0$;0$;0$;0$;N$;00000$; $;0000$;0000$;0$; $;A$; $; 
