.pl 16959
CisloVydejky;DatumVydeje;CisloOdberatele;NazevOdberatele;CisloKarty;NazevZbozi;MernaJednotka;Rabat;ProdCena;SazbaD;VKart;Vydano;Zisk
--DATA--
00001$;737794$;07526$;DENSO MANUFACTURING CZECH s.r.o.$;3922$;Hadr èistá bavlna BT 10kg  0%$;pyt$;0.00$;164.34$;0$;0$;42$;2282.28
00002$;737794$;01568$;Nabídky pro zákazníky$;1653$;Papírové ruèníky ZZ 1vr Cerepa 250 zelen$;ks$;0.00$;10.00$;21$;20$;1$;2.90
00002$;737794$;01568$;Nabídky pro zákazníky$;0552$;Krém na ruce Indulona A/64 modrá 100g /5$;ks$;0.00$;26.61$;21$;25$;1$;6.60
00002$;737794$;01568$;Nabídky pro zákazníky$;5558$;Krém na ruce Isolda 100ml s Lanolinem$;ks$;0.00$;17.75$;21$;25$;1$;3.55
00002$;737794$;01568$;Nabídky pro zákazníky$;2406$;Solvina 450g Industrial$;ks$;0.00$;17.57$;21$;12$;1$;5.34
00002$;737794$;01568$;Nabídky pro zákazníky$;5107$;Isofa/Vakavo pasta na ruce 500g Orange$;Ks$;0.00$;12.33$;21$;0$;1$;2.47
00002$;737794$;01568$;Nabídky pro zákazníky$;2797$;Mıdlo Solvina 100g$;ks$;0.00$;4.80$;21$;56$;1$;1.67
00002$;737794$;01568$;Nabídky pro zákazníky$;0352$;Nádobí Jar 900ml Citron$;ks$;0.00$;36.51$;21$;12$;1$;9.04
00002$;737794$;01568$;Nabídky pro zákazníky$;3636$;Písek tekutı REAL 600g industrial$;ks$;0.00$;18.92$;21$;18$;1$;4.41
00002$;737794$;01568$;Nabídky pro zákazníky$;0400$;Mio  600g$;ks$;0.00$;24.55$;21$;18$;1$;5.11
00002$;737794$;01568$;Nabídky pro zákazníky$;3348$;Toaletní papír 2vrs.160 ForestBIG 48/16m$;rol$;0.00$;3.64$;21$;48$;1$;0.79
00002$;737794$;01568$;Nabídky pro zákazníky$;0387$;Okna Iron 500ml industrial$;ks$;0.00$;12.08$;21$;8$;1$;2.38
00003$;737794$;03756$;Dìtskı domov a školní jídelna$;5217$;Nádobí Jar 450ml Pome granate$;ks$;0.00$;22.47$;21$;21$;1$;4.69
00003$;737794$;03756$;Dìtskı domov a školní jídelna$;0749$;Toaletní papír Gigant 2vrs.240 Harm/7362$;rol$;0.00$;32.33$;21$;6$;1$;6.63
00003$;737794$;03756$;Dìtskı domov a školní jídelna$;2602$;Zubní pasta Odol Fluorid 100ml$;ks$;0.00$;24.91$;21$;12$;1$;4.98
00003$;737794$;03756$;Dìtskı domov a školní jídelna$;5106$;Savo  1,2l Prim s vùní-Svìí$;ks$;0.00$;34.29$;21$;6$;1$;10.38
