.pl 16959
CisloVydejky;DatumVydeje;CisloDodavatele;NazevDodavatele;CisloKarty;NazevZbozi;MernaJednotka;NakupCena;Vydano
--DATA--
00001$;737794$;00245$;Lipa velkoobchod papirem s.r.o.$;0665$;Fixaèní folie 500mm/20mi$;ks$;48.93$;60
00002$;737794$;01095$;Hygienickı servis s.r.o.$;4270$;Toaletní papír Gigant 2vrs.190*Imb402297$;rol$;29.15$;480
00003$;737794$;00245$;Lipa velkoobchod papirem s.r.o.$;3225$;Koš kanceláøskı kovovı 24l Techo$;ks$;73.35$;5
00003$;737794$;00245$;Lipa velkoobchod papirem s.r.o.$;3226$;Taška mikro 10kg pruhy 100ks$;bal$;16.81$;20
00004$;737794$;01029$;PYTLÍK, a.s.$;5853$;Pytle  70L/30mi  60x80cm 20ks èernı$;rol$;19.00$;100
00004$;737794$;01029$;PYTLÍK, a.s.$;4515$;Pytle  80L/200mi 55x100cm silné èerné$;ks$;6.54$;200
00004$;737794$;01029$;PYTLÍK, a.s.$;0446$;Pytle 120L/60mi 70x110cm role-20ks èerná$;rol$;46.80$;420
00004$;737794$;01029$;PYTLÍK, a.s.$;2180$;Pytle 200L/80mi 100x120cm role-5ks èerné$;rol$;28.75$;150
00004$;737794$;01029$;PYTLÍK, a.s.$;2738$;Pytle 240L/100mi 120x150cm 1ks èerné$;ks$;8.95$;100
00004$;737794$;01029$;PYTLÍK, a.s.$;4739$;Sáèky do koše 16l 45x52 /50ks bílé/trans$;rol$;8.00$;80
00004$;737794$;01029$;PYTLÍK, a.s.$;2980$;Sáèky do koše 30l 50x60 /10mi zatah.L15$;rol$;11.25$;200
00004$;737794$;01029$;PYTLÍK, a.s.$;5972$;Sáèky do koše 60l 60x80 /15mi zatah.10ZE$;rol$;11.90$;200
00004$;737794$;01029$;PYTLÍK, a.s.$;2546$;Sáèky do koše 60l 60x80 /40mi zatah 10èe$;rol$;15.90$;250
00004$;737794$;01029$;PYTLÍK, a.s.$;0419$;Sáèky do koše 60l 60x85 /10mi 25ks modrı$;rol$;14.75$;200
00004$;737794$;01029$;PYTLÍK, a.s.$;3474$;Sáèky do koše 60l 63x74 /7mi 50ks bílı$;rol$;12.50$;200
00004$;737794$;01029$;PYTLÍK, a.s.$;1246$;Sáèky do koše 70l 63x85 /8mi 40ks bílı$;rol$;15.60$;90
00004$;737794$;01029$;PYTLÍK, a.s.$;2986$;\o\Pytle 120L/100mi 70x110cm èerven nebe$;ks$;6.79$;300
00005$;737794$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;6019$;Destilovaná voda 1l$;ks$;8.33$;18
00005$;737794$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;3252$;Koberce Mr.Teppich antialer.spray 600ml$;ks$;55.39$;12
00005$;737794$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;1016$;Leštìnka Pronto spray hnìdá 250ml$;ks$;50.61$;60
00005$;737794$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;1271$;Mydlovı èistiè Pronto 750ml na døevo$;ks$;51.46$;60
00005$;737794$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;3886$;Osvìovaè spray Glade 300ml Oceán$;ks$;33.90$;60
00005$;737794$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;2249$;Osvìovaè spray Glade 300ml OudDesir/Lev$;ks$;34.63$;60
00005$;737794$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;5637$;Prášek Bonux 60dávek bílé$;ks$;136.90$;10
00005$;737794$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;5265$;Prášek Bonux 60dávek Color$;ks$;136.90$;10
00005$;737794$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;0838$;Šampon Nivea 250ml Volume$;ks$;42.91$;6
00005$;737794$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;1970$;Tìlové mléko Lactovit 400ml Regeneraèní$;ks$;79.13$;6
00005$;737794$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;1483$;Univerzal Sidolux obsahem sody 1l Marsei$;ks$;27.24$;60
00005$;737794$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;1690$;SG FA Men 2v1 mix 250ml$;ks$;24.93$;48
00006$;737794$;00687$;Avex Liberec s.r.o.$;1574$;\o\Barva SU 2013/1000 4l/3.5l  bílá$;ks$;572.85$;2
00007$;737794$;00066$;Alpa s.r.o. Velke Mezirici$;4535$;Alpa 160ml lesana$;ks$;22.63$;24
00007$;737794$;00066$;Alpa s.r.o. Velke Mezirici$;0743$;Alpa 1l francovka$;ks$;97.31$;6
00007$;737794$;00066$;Alpa s.r.o. Velke Mezirici$;2224$;Alpa emulze s arnikou 100ml$;ks$;32.58$;10
00007$;737794$;00066$;Alpa s.r.o. Velke Mezirici$;2201$;Aviril olej ïìtskı s azulenem 50ml$;ks$;14.31$;10
00007$;737794$;00066$;Alpa s.r.o. Velke Mezirici$;0802$;Holící pìna Windsor 200ml$;ks$;26.90$;36
00007$;737794$;00066$;Alpa s.r.o. Velke Mezirici$;0948$;Voda po holení Windsor 100ml$;ks$;24.25$;30
00008$;737794$;00610$;AUTO - COLOR s.r.o$;1138$;Èistiè brzd 500ml Dinitrol 7450$;ks$;53.00$;600
00009$;737794$;00981$;Miroslav Kuèera - Kuku papír$;2056$;Papírové ruèníky role 2vr PMidi9897/7371$;rol$;21.35$;480
00009$;737794$;00981$;Miroslav Kuèera - Kuku papír$;3607$;Papírové ruèníky ZZ 2vr 1193 celuloz 150$;ks$;14.75$;3200
00009$;737794$;00981$;Miroslav Kuèera - Kuku papír$;4263$;Papírové ruèníky ZZ 2vr Harm.1614 rec150$;ks$;11.45$;1920
00009$;737794$;00981$;Miroslav Kuèera - Kuku papír$;5913$;Papírové ruèníky ZZ 2vr Katrin 65944 bíl$;ks$;14.50$;640
00009$;737794$;00981$;Miroslav Kuèera - Kuku papír$;1245$;Toaletní papír 1vrs. Harmasan 400    50m$;rol$;3.70$;1800
00009$;737794$;00981$;Miroslav Kuèera - Kuku papír$;2205$;Toaletní papír Gigant 2vrs.280 Harm/7366$;rol$;36.20$;576
00009$;737794$;00981$;Miroslav Kuèera - Kuku papír$;5494$;Ubrousky skládané 200k Harm.5130/7340 2v$;bal$;15.30$;200
00009$;737794$;00981$;Miroslav Kuèera - Kuku papír$;2739$;Zásobník papírové role PK Midi Harmo1381$;ks$;220.00$;2
00009$;737794$;00981$;Miroslav Kuèera - Kuku papír$;5666$;Papírové ruèníky role 2vr Katri 2634 60m$;rol$;28.00$;96
00009$;737794$;00981$;Miroslav Kuèera - Kuku papír$;0749$;Toaletní papír Gigant 2vrs.240 Harm/7362$;rol$;25.70$;336
