.pl 16959
CisloVydejky;DatumVydeje;CisloOdberatele;NazevOdberatele;CisloKarty;NazevZbozi;MernaJednotka;Rabat;ProdCena;SazbaD;VKart;Vydano;Zisk
--DATA--
00015$;737794$;03900$;Krajská nemocnice Liberec   1341$;0351$;Nádobí Jar 450ml Citrón$;ks$;-2.00$;23.84$;21$;21$;3$;18.21
00015$;737794$;03900$;Krajská nemocnice Liberec   1341$;1054$;Osvìžovaè spray Wind 300ml Jap.zahrada$;ks$;-2.00$;21.11$;21$;24$;5$;39.55
00015$;737794$;03900$;Krajská nemocnice Liberec   1341$;1416$;Osvìžovaè spray Wind 300ml Citrus$;ks$;-2.00$;21.11$;21$;24$;5$;39.55
00015$;737794$;03900$;Krajská nemocnice Liberec   1341$;5846$;Osvìžovaè spray Wind 300ml Oceán$;ks$;-2.00$;21.11$;21$;24$;5$;39.55
00016$;737794$;03904$;Krajská nemocnice Liberec   2113$;0180$;Motouz POP  250g  1200 m/kg$;ks$;-2.00$;35.88$;21$;8$;2$;15.76
00016$;737794$;03904$;Krajská nemocnice Liberec   2113$;0351$;Nádobí Jar 450ml Citrón$;ks$;-2.00$;23.84$;21$;21$;8$;48.56
00016$;737794$;03904$;Krajská nemocnice Liberec   2113$;1056$;Tekuté mýdlo 5l Vakavo Love Herbal bílé$;kan$;-2.00$;75.10$;21$;0$;4$;81.56
00016$;737794$;03904$;Krajská nemocnice Liberec   2113$;1416$;Osvìžovaè spray Wind 300ml Citrus$;ks$;-2.00$;21.11$;21$;24$;11$;87.01
00016$;737794$;03904$;Krajská nemocnice Liberec   2113$;2600$;Houbièka nádobí s drážkou po 1ks 10x7cm$;ks$;-2.00$;2.85$;21$;0$;30$;42.30
00016$;737794$;03904$;Krajská nemocnice Liberec   2113$;5757$;Koupelny Krystal 750ml MR$;ks$;-2.00$;37.85$;21$;18$;4$;35.52
00017$;737794$;03905$;Krajská nemocnice Liberec   2129$;0802$;Holící pìna Windsor 200ml$;ks$;-2.00$;35.62$;21$;12$;2$;17.44
00017$;737794$;03905$;Krajská nemocnice Liberec   2129$;1054$;Osvìžovaè spray Wind 300ml Jap.zahrada$;ks$;-2.00$;21.11$;21$;24$;10$;79.10
00017$;737794$;03905$;Krajská nemocnice Liberec   2129$;1056$;Tekuté mýdlo 5l Vakavo Love Herbal bílé$;kan$;-2.00$;75.10$;21$;0$;1$;20.39
00017$;737794$;03905$;Krajská nemocnice Liberec   2129$;1356$;Šampon Primo 500ml Bøíza Clear$;ks$;-2.00$;13.40$;21$;15$;2$;5.80
